"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521",-20.61335667,115.4360017,20141029,"8:12:00","SW.Montebello","Fished",1,10.6,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522",-20.60826167,115.436625,20141029,"8:15:00","SW.Montebello","Fished",1,10.6,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB523",-20.60332833,115.4357583,20141029,"8:19:00","SW.Montebello","Fished",1,11.4,NA,"No","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524",-20.60011333,115.43557,20141029,"8:02:00","SW.Montebello","Fished",1,11.6,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525",-20.59529333,115.434155,20141029,"8:28:00","SW.Montebello","Fished",1,10.8,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526",-20.58786,115.4324067,20141029,"8:32:00","SW.Montebello","Fished",1,11.3,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527",-20.58033333,115.4315317,20141029,"8:38:00","SW.Montebello","Fished",2,12.1,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528",-20.57413833,115.4307717,20141029,"8:41:00","SW.Montebello","Fished",2,11.3,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529",-20.565655,115.4304983,20141029,"8:48:00","SW.Montebello","Fished",2,11.6,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530",-20.56051,115.4304067,20141029,"8:55:00","SW.Montebello","Fished",2,11.1,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531",-20.53742333,115.4458033,20141029,"10:21:00","SW.Montebello.Sanctuary","No-take",3,9.2,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB532",-20.54477167,115.4574133,20141029,"10:28:00","SW.Montebello.Sanctuary","No-take",3,8,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533",-20.54879,115.4697,20141029,"10:34:00","SW.Montebello.Sanctuary","No-take",3,9.2,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534",-20.51263667,115.4801367,20141029,"10:48:00","SW.Montebello.Sanctuary","No-take",4,8,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB535",-20.514815,115.4677083,20141029,"10:54:00","SW.Montebello.Sanctuary","No-take",4,9.6,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536",-20.51856667,115.4561783,20141029,"10:59:00","SW.Montebello.Sanctuary","No-take",4,9.4,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537",-20.51351333,115.4495533,20141029,"11:05:00","SW.Montebello.Sanctuary","No-take",5,10.1,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB538",-20.503515,115.4448933,20141029,"11:01:00","SW.Montebello.Sanctuary","No-take",5,10,"Todd","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB539",-20.49274333,115.4475433,20141029,"11:15:00","SW.Montebello.Sanctuary","No-take",5,10.4,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB540",-20.48459,115.4523683,20141029,"11:19:00","SW.Montebello.Sanctuary","No-take",5,10.4,"Todd","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB541",-20.45731333,115.46351,20141029,"13:02:00","SW.Montebello.Sanctuary","No-take",6,10.3,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB542",-20.45141167,115.4658633,20141029,"13:06:00","SW.Montebello.Sanctuary","No-take",6,8.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB543",-20.44637667,115.4674667,20141029,"13:07:00","SW.Montebello.Sanctuary","No-take",6,9.5,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB544",-20.44036,115.4730217,20141029,"13:11:00","SW.Montebello.Sanctuary","No-take",6,9.4,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB545",-20.4358,115.4761217,20141029,"13:15:00","SW.Montebello.Sanctuary","No-take",6,9.1,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB546",-20.42827833,115.478225,20141029,"13:02:00","NW.Montebello","Fished",7,9.7,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB547",-20.42313167,115.4844617,20141029,"13:23:00","NW.Montebello","Fished",7,11.9,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB548",-20.42086667,115.4866733,20141029,"13:29:00","NW.Montebello","Fished",7,9.7,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB549",-20.41598833,115.49133,20141029,"13:33:00","NW.Montebello","Fished",7,8.6,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB550",-20.40909333,115.4897267,20141029,"13:39:00","NW.Montebello","Fished",7,10.2,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB551",-20.404815,115.4870917,20141029,"15:05:00","NW.Montebello","Fished",8,9,"Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB552",-20.40097833,115.491675,20141029,"15:07:00","NW.Montebello","Fished",8,9.1,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553",-20.39478667,115.491335,20141029,"15:11:00","NW.Montebello","Fished",8,10.7,"Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB554",-20.38344,115.4920867,20141029,"15:28:00","NW.Montebello","Fished",8,12.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB555",-20.37749833,115.4973267,20141029,"15:32:00","NW.Montebello","Fished",8,9.5,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB556",-20.37015941,115.4968709,20141029,"15:41:00","N.Montebello.Sanctuary","No-take",9,12.6,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB557",-20.36579667,115.498375,20141029,"15:44:00","N.Montebello.Sanctuary","No-take",9,8.3,"Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB558",-20.36098333,115.5019183,20141029,"15:47:00","N.Montebello.Sanctuary","No-take",9,11.5,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559",-20.35543,115.5017033,20141029,"15:52:00","N.Montebello.Sanctuary","No-take",9,9,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB560",-20.34991167,115.500005,20141029,"15:56:00","N.Montebello.Sanctuary","No-take",10,11.8,"Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB561",-20.34493667,115.500575,20141030,"7:31:00","N.Montebello.Sanctuary","No-take",10,12.4,"ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-10_Montebello.sanctuaries_stereoBRUVs","NCB562",-20.34061833,115.50644,20141030,"7:35:00","N.Montebello.Sanctuary","No-take",10,12.8,"ET","Yes","Yes",NA
