"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Sphyrnidae","Sphyrna","mokarran",305.419,305.419,305.419,303.12,303.12,303.12
"Carcharhinidae","Negaprion","acutidens",120.509,120.509,120.509,215.33,215.33,215.33
"Carcharhinidae","Galeocerdo","cuvier",99.234,99.234,99.234,213.46,213.46,213.46
"Glaucostegidae","Glaucostegus","typus",67.587,67.587,67.587,225.03,225.03,225.03
"Ginglymostomatidae","Nebrius","ferrugineus",62.489,112.895,4.399,72.25,159.23,207.91
"Rhinidae","Rhynchobatus","australiae",44.095,93.078,6.245,97.49,160.34,231.76
"Carcharhinidae","Carcharhinus","amboinensis",32.937,36.738,29.137,151.84,157.72,163.59
"Carcharhinidae","Carcharhinus","limbatus",30.945,30.945,30.945,149.14,149.14,149.14
"Serranidae","Epinephelus","tukula",25.282,27.703,22.86,119.59,124.25,128.91
"Carcharhinidae","Carcharhinus","plumbeus",24.962,30.082,17.693,115.31,128.72,137.53
"Mobulidae","Mobula","tarapacana",20.8,20.8,20.8,119.76,119.76,119.76
"Carcharhinidae","Carcharhinus","amblyrhynchos",19.843,79.049,2.663,53.46,93.1,162.49
"Dasyatidae","Taeniurops","meyeni",17.604,34.29,8.563,99.45,120.48,157.45
"Serranidae","Epinephelus","malabaricus",11.777,29.848,3.775,63.51,88.75,125.54
"Carcharhinidae","Carcharhinus","albimarginatus",11.201,11.201,11.201,96.91,96.91,96.91
"Carangidae","Caranx","ignobilis",10.769,21.183,4.001,57.19,76.77,98.15
"Carcharhinidae","Carcharhinus","melanopterus",10.572,20.299,5.392,77.81,91.33,112.66
"Serranidae","Epinephelus","coioides",8.935,16.653,5.3,65.24,76.26,95.68
"Serranidae","Epinephelus","fuscoguttatus",8.812,10.601,5.667,69.32,79.44,85.08
"Carangidae","Ulua","mentalis",8.662,9.725,7.85,74.66,77.34,80.78
"Rachycentridae","Rachycentron","canadum",8.599,13.067,6.169,76.81,84.14,95.8
"Sphyraenidae","Sphyraena","jello",7.851,17.246,4.892,81.55,92.77,122.29
"Carcharhinidae","Triaenodon","obesus",6.979,10.971,3.154,73.64,91.66,106.91
"Scombridae","Scomberomorus","spp",5.584,25.214,0.499,33.29,69.62,121.59
"Lutjanidae","Lutjanus","bohar",5.074,7.055,2.578,50.94,62.82,70.97
"Lutjanidae","Lutjanus","malabaricus",4.945,4.945,4.945,69.46,69.46,69.46
"Lethrinidae","Lethrinus","microdon",4.816,8.196,0.952,33.17,55.41,67.51
"Lutjanidae","Aprion","virescens",4.437,7.761,0.462,30.46,64.06,81.39
"Lutjanidae","Symphorus","nematophorus",4.236,9.411,0.333,25.46,60.14,81.47
"Acanthuridae","Naso","fageni",4.18,6.159,2.472,42.98,50.5,58.26
"Hemigaleidae","Hemipristis","elongata",3.922,3.922,3.922,73.83,73.83,73.83
"Lutjanidae","Lutjanus","sebae",3.843,8.845,0.306,25.73,54.92,73.41
"Elopidae","Elops","hawaiensis",3.783,5.883,1.035,53.36,80.15,95.21
"Carcharhinidae","Loxodon","macrorhinus",3.724,5.927,2.12,52.68,62.73,73.4
"Lethrinidae","Lethrinus","olivaceus",3.648,6.656,1.168,41.07,60.51,75.63
"Acanthuridae","Naso","brachycentron",3.539,3.539,3.539,48.1,48.1,48.1
"Carangidae","Scomberoides","commersonnianus",3.353,3.495,3.21,62.09,63.05,64
"Aulostomidae","Aulostomus","chinensis",3.34,3.34,3.34,52.47,52.47,52.47
"Tetraodontidae","Lagocephalus","sceleratus",3.254,6.88,1.67,49.77,61.98,80.77
"Kyphosidae","Kyphosus","vaigiensis",3.253,4.649,2.31,46.01,51.49,58.42
"Lutjanidae","Lutjanus","argentimaculatus",3.222,3.222,3.222,58.65,58.65,58.65
"Haemulidae","Plectorhinchus","gibbosus",2.998,3.01,2.986,53.56,53.63,53.7
"Ariidae","Netuma","thalassina",2.95,2.95,2.95,51.94,51.94,51.94
"Serranidae","Epinephelus","multinotatus",2.889,7.992,1.38,45.6,57.44,82.47
"Labridae","Choerodon","schoenleinii",2.694,6.971,0.345,25.49,47.81,69.45
"Serranidae","Variola","albimarginata",2.668,3.813,0.656,30.47,46.86,54.78
"Carangidae","Gnathanodon","speciosus",2.597,17.652,0.137,19.1,46.15,96.79
"Carcharhinidae","Carcharhinus","brevipinna",2.553,2.596,2.511,64.87,65.23,65.59
"Lutjanidae","Lutjanus","erythropterus",2.546,2.546,2.546,56.06,56.06,56.06
"Haemulidae","Diagramma","pictum labiosum",2.528,3.422,1.454,47.28,56.51,62.96
"Serranidae","Epinephelus","polyphekadion",2.47,2.692,2.164,51.33,53.47,54.99
"Ephippidae","Platax","batavianus",2.406,2.798,1.691,43.02,48.29,51
"Carangidae","Carangoides","orthogrammus",2.346,3.597,0.959,38.26,49.97,59.23
"Lethrinidae","Lethrinus","nebulosus",2.15,5.664,0.337,26.31,47.11,67.51
"Scaridae","Scarus","ghobban",2.042,4.841,0.085,14.93,40.83,57.81
"Serranidae","Variola","louti",1.887,2.439,0.479,26.01,39.16,44.04
"Scaridae","Scarus","rubroviolaceus",1.706,3.489,0.146,17.8,35.86,48.3
"Scaridae","Scarus","frenatus",1.61,1.889,1.33,32.32,34.28,36.24
"Ephippidae","Platax","teira",1.542,1.827,1.313,39.57,41.71,44.25
"Carangidae","Carangoides","chrysophrys",1.452,2.564,0.319,25.42,40.48,52.32
"Tetraodontidae","Arothron","caeruleopunctatus",1.416,2.101,0.731,34.36,41.97,49.58
"Balistidae","Pseudobalistes","fuscus",1.382,2.694,0.219,18.24,34.32,45.24
"Serranidae","Plectropomus","spp",1.379,7.089,0.091,18.27,40.4,74.93
"Sphyraenidae","Sphyraena","barracuda",1.362,1.362,1.362,59.54,59.54,59.54
"Monacanthidae","Aluterus","scriptus",1.303,1.507,1.153,54.25,57.95,62.9
"Haemulidae","Plectorhinchus","flavomaculatus",1.232,1.667,0.796,31.91,36.61,41.31
"Sphyraenidae","Sphyraena","qenie",1.196,2.674,0.449,38.9,51.63,70.51
"Carangidae","Carangoides","ferdau",1.165,1.897,0.443,26.61,35.98,43.86
"Scaridae","Chlorurus","microrhinos",1.091,2.856,0.396,26.31,35.77,51.66
"Carangidae","Carangoides","fulvoguttatus",1.05,10.32,0.15,20.1,36.87,90.68
"Scaridae","Chlorurus","bleekeri",1.022,2.32,0.058,11.69,29.11,40.88
